Race ID,Player ID,Player Name,Best Lap,Laps Completed,Target Laps,Status,Timestamp,Time Logged
race_1788592338860,2,purav,1.72s,4,8,2nd Place,1788592621505,12:47 PM
race_1788592338860,1,rachita,1.71s,5,8,2nd Place,1788592623420,12:47 PM
race_1788592338860,1,rachita,1.71s,6,8,2nd Place,1788592623738,12:47 PM
race_1788592338860,1,rachita,1.71s,6,8,2nd Place,1788592625424,12:47 PM
race_1788592338860,1,rachita,1.71s,7,8,2nd Place,1788592626093,12:47 PM
race_1788592338860,1,rachita,1.71s,7,8,2nd Place,1788592627640,12:47 PM
race_1788593086595,1,anay,--,0,8,2nd Place,1788593118081,12:55 PM
race_1788593086595,2,dharsh,--,0,8,2nd Place,1788593118082,12:55 PM
race_1788593086595,1,anay,--,0,8,2nd Place,1788593118089,12:55 PM
race_1788593086595,2,dharsh,--,0,8,2nd Place,1788593118090,12:55 PM
race_1788593086595,1,anay,--,0,8,2nd Place,1788593125484,12:55 PM
race_1788593086595,2,dharsh,7.39s,1,8,2nd Place,1788593125485,12:55 PM
race_1788593086595,1,anay,7.44s,1,8,2nd Place,1788593125525,12:55 PM
race_1788593086595,2,dharsh,7.39s,1,8,2nd Place,1788593125525,12:55 PM
race_1788593086595,1,anay,7.44s,1,8,2nd Place,1788593127267,12:55 PM
race_1788593086595,2,dharsh,1.78s,2,8,2nd Place,1788593127268,12:55 PM
race_1788593086595,1,anay,2.25s,2,8,2nd Place,1788593127777,12:55 PM
race_1788593086595,2,dharsh,1.78s,2,8,2nd Place,1788593127778,12:55 PM
race_1788593086595,1,anay,2.25s,2,8,2nd Place,1788593129126,12:55 PM
race_1788593086595,2,dharsh,1.78s,3,8,2nd Place,1788593129127,12:55 PM
race_1788593086595,1,anay,1.90s,3,8,2nd Place,1788593129669,12:55 PM
race_1788593086595,2,dharsh,1.78s,3,8,2nd Place,1788593129670,12:55 PM
race_1788593086595,1,anay,1.90s,3,8,2nd Place,1788593131068,12:55 PM
race_1788593086595,2,dharsh,1.78s,4,8,2nd Place,1788593131069,12:55 PM
race_1788593086595,1,anay,1.90s,4,8,2nd Place,1788593131733,12:55 PM
race_1788593086595,2,dharsh,1.78s,4,8,2nd Place,1788593131734,12:55 PM
race_1788593086595,1,anay,1.90s,4,8,2nd Place,1788593133375,12:55 PM
race_1788593086595,2,dharsh,1.78s,5,8,2nd Place,1788593133376,12:55 PM
race_1788593086595,1,anay,1.90s,5,8,2nd Place,1788593134104,12:55 PM
race_1788593086595,2,dharsh,1.78s,5,8,2nd Place,1788593134105,12:55 PM
race_1788593086595,1,anay,1.90s,5,8,2nd Place,1788593135271,12:55 PM
race_1788593086595,2,dharsh,1.78s,6,8,2nd Place,1788593135272,12:55 PM
race_1788593086595,1,anay,1.90s,6,8,2nd Place,1788593136363,12:55 PM
race_1788593086595,2,dharsh,1.78s,6,8,2nd Place,1788593136364,12:55 PM
race_1788593086595,1,anay,1.90s,6,8,2nd Place,1788593137252,12:55 PM
race_1788593086595,2,dharsh,1.78s,7,8,2nd Place,1788593137253,12:55 PM
race_1788593086595,1,anay,1.90s,7,8,2nd Place,1788593138475,12:55 PM
race_1788593086595,2,dharsh,1.78s,7,8,2nd Place,1788593138476,12:55 PM
race_1788593086595,1,anay,1.90s,7,8,2nd Place,1788593139414,12:55 PM
race_1788593086595,2,dharsh,1.78s,8,8,🏆 1st Place,1788593139402,12:55 PM
race_1788593086595,1,anay,1.90s,7,8,2nd Place,1788593139419,12:55 PM
race_1788593086595,2,dharsh,1.78s,8,8,🏆 1st Place,1788593139402,12:55 PM
race_1788593086595,1,anay,1.90s,7,8,2nd Place,1788593197326,12:56 PM
race_1788593086595,2,dharsh,1.78s,8,8,🏆 1st Place,1788593139402,12:56 PM
race_1788593197327,1,keshav,--,0,8,2nd Place,1788593223102,12:57 PM
race_1788593197327,2,vedansh,--,0,8,2nd Place,1788593223103,12:57 PM
race_1788593197327,1,keshav,--,0,8,2nd Place,1788593223113,12:57 PM
race_1788593197327,2,vedansh,--,0,8,2nd Place,1788593223113,12:57 PM
race_1788593197327,1,keshav,110.75s,1,8,2nd Place,1788593333858,12:58 PM
race_1788593197327,2,vedansh,--,0,8,2nd Place,1788593333859,12:58 PM
